ID,Species,Influence,Larger portion
1,Dog,No Influence,4
2,Dog,No Influence,5
3,Dog,No Influence,5
4,Dog,No Influence,5
5,Dog,No Influence,5
6,Dog,No Influence,5
7,Dog,Counterproductive Influence,4
8,Dog,Counterproductive Influence,3
9,Dog,Counterproductive Influence,2
10,Dog,Counterproductive Influence,2
11,Dog,Counterproductive Influence,2
12,Dog,Counterproductive Influence,3
13,Cat,No Influence,6
14,Cat,No Influence,4
15,Cat,No Influence,5
16,Cat,No Influence,4
17,Cat,No Influence,5
18,Cat,No Influence,4
19,Cat,Counterproductive Influence,4
20,Cat,Counterproductive Influence,4
21,Cat,Counterproductive Influence,5
22,Cat,Counterproductive Influence,4
23,Cat,Counterproductive Influence,4
24,Cat,Counterproductive Influence,5